"ref_area.label","source.label","indicator.label","classif1.label","time","obs_value","obs_status.label","note_classif.label","note_indicator.label","note_source.label"
"Netherlands Antilles","ADM - Other Administrative records and related sources, Strikes and Lockouts","Number of workers involved in strikes and lockouts by economic activity (thousands)","Economic activity (ISIC-Rev.3.1): F. Construction","1995",0.05,,,,"Geographical coverage: Main city or metropolitan area"
"Netherlands Antilles","ADM - Other Administrative records and related sources, Strikes and Lockouts","Number of workers involved in strikes and lockouts by economic activity (thousands)","Economic activity (ISIC-Rev.3.1): I. Transport, storage and communications","1995",0.865,,,,"Geographical coverage: Main city or metropolitan area"
"Netherlands Antilles","ADM - Other Administrative records and related sources, Strikes and Lockouts","Number of workers involved in strikes and lockouts by economic activity (thousands)","Economic activity (ISIC-Rev.3.1): M. Education","1995",0.008,,,,"Geographical coverage: Main city or metropolitan area"
"Netherlands Antilles","ADM - Other Administrative records and related sources, Strikes and Lockouts","Number of workers involved in strikes and lockouts by economic activity (thousands)","Economic activity (ISIC-Rev.3.1): N. Health and social work","1995",0.124,,,,"Geographical coverage: Main city or metropolitan area"
"Netherlands Antilles","ADM - Other Administrative records and related sources, Strikes and Lockouts","Number of workers involved in strikes and lockouts by economic activity (thousands)","Economic activity (ISIC-Rev.3.1): O. Other community, social and personal service activities","1995",2.245,,,,"Geographical coverage: Main city or metropolitan area"
"Netherlands Antilles","ADM - Other Administrative records and related sources, Strikes and Lockouts","Number of workers involved in strikes and lockouts by economic activity (thousands)","Economic activity (ISIC-Rev.3.1): X - Not elsewhere classified","1995",3.07,,,,"Geographical coverage: Main city or metropolitan area"
"Netherlands Antilles","ADM - Other Administrative records and related sources, Strikes and Lockouts","Number of workers involved in strikes and lockouts by economic activity (thousands)","Economic activity (Broad sector): Total","1994",4.963,,,,"Geographical coverage: Main city or metropolitan area"
"Netherlands Antilles","ADM - Other Administrative records and related sources, Strikes and Lockouts","Number of workers involved in strikes and lockouts by economic activity (thousands)","Economic activity (Aggregate): Total","1994",4.963,,,,"Geographical coverage: Main city or metropolitan area"
"Netherlands Antilles","ADM - Other Administrative records and related sources, Strikes and Lockouts","Number of workers involved in strikes and lockouts by economic activity (thousands)","Economic activity (Aggregate): Manufacturing","1994",0.056,,,,"Geographical coverage: Main city or metropolitan area"
"Netherlands Antilles","ADM - Other Administrative records and related sources, Strikes and Lockouts","Number of workers involved in strikes and lockouts by economic activity (thousands)","Economic activity (ISIC-Rev.3.1): Total","1994",4.963,,,,"Geographical coverage: Main city or metropolitan area"
"Netherlands Antilles","ADM - Other Administrative records and related sources, Strikes and Lockouts","Number of workers involved in strikes and lockouts by economic activity (thousands)","Economic activity (ISIC-Rev.3.1): D. Manufacturing","1994",0.056,,,,"Geographical coverage: Main city or metropolitan area"
"Netherlands Antilles","ADM - Other Administrative records and related sources, Strikes and Lockouts","Number of workers involved in strikes and lockouts by economic activity (thousands)","Economic activity (ISIC-Rev.3.1): I. Transport, storage and communications","1994",0.465,,,,"Geographical coverage: Main city or metropolitan area"
